state,account length,international plan,total day minutes,total day calls,customer service calls,churn
KS,128,no,265.1,110,1,FALSE
OH,107,no,161.6,123,1,FALSE
NJ,137,no,243.4,114,0,FALSE
OH,84,yes,299.4,71,2,FALSE
OK,75,yes,166.7,113,3,FALSE
AL,118,yes,223.4,98,0,FALSE
MA,121,no,218.2,88,3,FALSE
MO,147,yes,157,79,0,FALSE
LA,117,no,184.5,97,1,FALSE
WV,141,yes,258.6,84,0,FALSE
IN,65,no,129.1,137,4,TRUE
RI,74,no,187.7,127,0,FALSE
IA,168,no,128.8,96,1,FALSE
MT,95,no,156.6,88,3,FALSE
IA,62,no,120.7,70,4,FALSE
NY,161,no,332.9,67,4,TRUE
ID,85,no,196.4,139,1,FALSE
VT,93,no,190.7,114,3,FALSE
VA,76,no,189.7,66,1,FALSE
TX,73,no,224.4,90,1,FALSE
FL,147,no,155.1,117,0,FALSE
CO,77,no,62.4,89,5,TRUE
AZ,130,no,183,112,0,FALSE
SC,111,no,110.4,103,2,FALSE
VA,132,no,81.1,86,0,FALSE
NE,174,no,124.3,76,3,FALSE
WY,57,no,213,115,0,FALSE
MT,54,no,134.3,73,3,FALSE
MO,20,no,190,109,0,FALSE
HI,49,no,119.3,117,1,FALSE
IL,142,no,84.8,95,2,FALSE
NH,75,no,226.1,105,1,FALSE
LA,172,no,212,121,3,FALSE
AZ,12,no,249.6,118,1,TRUE
OK,57,no,176.8,94,0,FALSE
GA,72,no,220,80,3,FALSE
AK,36,no,146.3,128,0,FALSE
MA,78,no,130.8,64,1,FALSE
AK,136,yes,203.9,106,3,FALSE
NJ,149,no,140.4,94,1,FALSE
GA,98,no,126.3,102,3,FALSE
MD,135,yes,173.1,85,0,TRUE
AR,34,no,124.8,82,2,FALSE
ID,160,no,85.8,77,3,FALSE
WI,64,no,154,67,1,FALSE
OR,59,no,120.9,97,2,FALSE
MI,65,no,211.3,120,3,FALSE
DE,142,no,187,133,2,FALSE
ID,119,no,159.1,114,5,TRUE
WY,97,no,133.2,135,1,FALSE
IA,52,no,191.9,108,3,FALSE
IN,60,no,220.6,57,1,FALSE
VA,10,no,186.1,112,2,FALSE
UT,96,no,160.2,117,2,FALSE
WY,87,no,151,83,5,TRUE
IN,81,no,175.5,67,1,FALSE
CO,141,no,126.9,98,1,FALSE
CO,121,no,198.4,129,3,TRUE
WI,68,no,148.8,70,3,FALSE
OK,125,no,229.3,103,1,FALSE
ID,174,no,192.1,97,1,FALSE
CA,116,no,268.6,83,2,FALSE
MN,74,no,193.7,91,2,FALSE
SD,149,no,180.7,92,3,FALSE
NC,38,no,131.2,98,2,FALSE
WA,40,no,148.1,74,2,FALSE
WY,43,yes,251.5,105,0,FALSE
MN,113,yes,125.2,93,0,FALSE
UT,126,no,211.6,70,1,FALSE
TX,150,no,178.9,101,4,TRUE
NJ,138,no,241.8,93,3,FALSE
MN,162,no,224.9,97,0,FALSE
NM,147,no,248.6,83,3,FALSE
NV,90,no,203.4,146,1,FALSE
HI,85,no,235.8,109,0,FALSE
MN,50,no,157.1,90,1,FALSE
DC,82,no,300.3,109,0,TRUE
NY,144,no,61.6,117,4,TRUE
MN,46,no,214.1,72,2,FALSE
MD,70,no,170.2,98,1,FALSE
WV,144,no,201.1,99,1,FALSE
OR,116,yes,215.4,104,3,FALSE
CO,55,no,165.6,123,3,FALSE
GA,70,no,249.5,101,1,FALSE
TX,106,no,210.6,96,2,TRUE
VT,128,no,179.3,104,0,FALSE
IN,94,no,157.9,105,4,TRUE
WV,111,no,214.3,118,1,FALSE
KY,74,no,154.1,104,2,FALSE
NJ,128,no,237.9,125,1,TRUE
DC,82,no,143.9,61,1,FALSE
LA,155,no,203.4,100,0,TRUE
AR,80,no,124.3,100,1,FALSE
ME,78,no,252.9,93,3,FALSE
AZ,90,no,179.1,71,3,FALSE
AK,104,no,278.4,106,1,FALSE
MT,73,no,160.1,110,0,FALSE
AZ,99,no,198.2,87,4,FALSE
MS,120,no,212.1,131,1,TRUE
ID,77,no,251.8,72,2,TRUE
IA,98,no,161.2,114,4,FALSE
MA,108,no,178.3,137,0,FALSE
VT,135,no,151.7,82,0,FALSE
KY,95,no,135,99,1,FALSE
IN,122,no,170.5,94,1,FALSE
AZ,95,no,238.1,65,4,FALSE
MI,36,no,281.4,102,2,FALSE
NM,93,no,117.9,131,1,FALSE
CO,141,no,148.6,91,1,FALSE
UT,157,no,229.8,90,3,FALSE
MI,120,no,165,100,1,FALSE
MA,103,no,185,117,2,FALSE
AL,98,no,161,117,4,FALSE
DE,125,no,126.7,108,1,FALSE
AZ,63,no,58.9,125,1,FALSE
ME,36,yes,196.8,89,0,TRUE
NJ,64,no,162.6,83,1,FALSE
NV,74,no,282.5,114,1,TRUE
MO,112,no,113.7,117,2,FALSE
ID,97,no,239.8,125,2,FALSE
NE,46,no,210.2,92,1,FALSE
TX,41,no,213.8,102,0,FALSE
MD,121,no,190.7,103,3,FALSE
MS,193,no,170.9,124,1,FALSE
NV,130,no,154.2,119,2,FALSE
AZ,85,no,201.4,52,1,FALSE
MS,162,no,70.7,108,4,TRUE
MS,61,no,187.5,124,4,TRUE
TX,92,no,91.7,90,2,FALSE
NE,131,no,214.2,115,3,FALSE
NE,90,no,145.5,92,3,FALSE
CA,75,no,166.3,125,1,FALSE
NJ,78,no,231,115,1,FALSE
TX,82,no,200.3,96,4,FALSE
AR,163,no,197,109,1,FALSE
AL,91,yes,129.9,112,3,FALSE
NY,75,no,175.8,97,5,FALSE
FL,91,no,203.1,106,3,FALSE
AK,127,no,183.2,117,1,FALSE
NV,113,no,205,101,2,FALSE
DE,110,no,148.5,115,1,FALSE
MD,120,no,200.3,68,0,FALSE
MI,157,no,192.6,107,3,FALSE
VT,103,no,246.5,47,1,FALSE
VT,117,yes,167.1,86,2,TRUE
MI,140,no,231.9,101,3,FALSE
WA,127,no,146.7,91,1,FALSE
UT,83,yes,271.5,87,1,FALSE
LA,121,no,181.5,121,1,FALSE
RI,145,no,257.7,97,2,FALSE
IA,113,no,193.8,99,1,FALSE
NE,117,no,102.8,119,1,FALSE
OH,65,no,187.9,116,1,FALSE
RI,56,no,226,112,1,FALSE
OK,96,no,260.4,115,5,FALSE
LA,151,no,178.7,116,0,FALSE
OH,83,no,337.4,120,0,TRUE
VA,139,no,157.6,129,0,FALSE
MO,6,no,183.6,117,1,FALSE
FL,115,no,142.1,124,1,FALSE
SC,87,no,136.3,97,0,FALSE
VA,141,no,217.1,110,0,FALSE
IA,141,no,187.5,99,3,FALSE
MI,62,no,98.9,103,1,FALSE
OK,146,no,206.3,151,1,FALSE
DE,92,no,243.1,92,2,FALSE
GA,185,no,189.8,126,1,FALSE
DC,148,no,202,102,1,FALSE
AZ,94,no,170.1,124,1,FALSE
AL,32,no,230.9,87,0,FALSE
CO,68,no,237.1,105,1,FALSE
NH,64,no,182.1,91,2,FALSE
NM,25,no,119.3,87,3,FALSE
OR,65,no,116.8,87,1,FALSE
LA,179,no,219.2,92,0,FALSE
NE,94,no,252.6,104,2,FALSE
MN,62,no,147.1,91,0,FALSE
MI,127,no,202.1,103,2,FALSE
AR,116,no,173.5,93,3,FALSE
KS,70,no,232.1,122,3,FALSE
WV,94,yes,197.1,125,4,FALSE
AK,126,no,58.2,94,5,TRUE
NY,67,no,115.6,111,2,FALSE
NH,19,no,186.1,98,2,FALSE
VA,170,yes,259.9,68,3,FALSE
NM,73,no,214.3,145,1,FALSE
NY,106,no,158.7,74,1,FALSE
AZ,93,no,271.6,71,2,FALSE
WY,164,no,160.6,111,1,FALSE
WA,51,no,232.4,109,1,FALSE
CO,107,no,133.8,85,0,FALSE
TX,130,no,176.9,109,1,FALSE
KY,80,no,209.9,74,2,FALSE
MT,94,no,137.5,118,0,FALSE
OK,118,no,289.5,52,1,FALSE
MD,117,no,198.1,86,1,FALSE
TN,78,no,149.7,119,0,FALSE
TX,208,no,326.5,67,2,TRUE
ME,131,yes,292.9,101,4,TRUE
DC,63,no,83,64,0,FALSE
MN,53,no,145.7,146,3,FALSE
DE,62,no,182.3,101,2,FALSE
MD,97,no,218,86,3,FALSE
MI,105,no,140.6,109,2,FALSE
WA,157,no,152.7,105,1,FALSE
MO,66,no,106.7,76,1,FALSE
IN,122,no,243.8,98,2,FALSE
OR,38,no,194.4,94,3,FALSE
MD,106,no,213.9,95,3,FALSE
RI,99,no,217.2,112,3,FALSE
LA,99,no,241.1,72,1,FALSE
AZ,144,yes,203.5,100,0,FALSE
PA,82,no,155.2,131,1,FALSE
AZ,86,no,167.6,139,1,FALSE
FL,70,yes,226.7,98,2,TRUE
LA,93,no,179.3,93,3,FALSE
FL,93,no,151.4,89,0,FALSE
FL,120,no,180,80,3,FALSE
MD,136,no,250.2,121,1,TRUE
AL,106,no,223,121,0,FALSE
WA,81,no,183.6,116,3,FALSE
TN,127,no,166,114,1,FALSE
MS,65,no,136.1,112,1,FALSE
ME,35,no,149.3,113,2,FALSE
OK,88,no,65.4,97,2,FALSE
IN,65,no,213.4,111,1,FALSE
MO,123,no,206.9,85,3,FALSE
IA,126,no,186.2,78,2,FALSE
VA,104,no,280.2,136,4,FALSE
KY,45,no,196.6,84,0,FALSE
MD,93,yes,312,109,0,TRUE
OH,63,yes,199,110,1,FALSE
OK,100,no,203.1,96,3,FALSE
NV,53,no,168.8,97,0,FALSE
ID,92,yes,173.1,140,1,FALSE
MN,139,no,134.4,106,5,TRUE
SD,110,no,202.6,103,2,FALSE
IL,110,no,74.5,117,3,FALSE
WY,215,no,83.6,148,0,FALSE
AL,73,no,192.2,86,1,FALSE
NJ,138,no,220.2,89,0,FALSE
NV,137,yes,135.1,95,2,TRUE
IN,36,no,253.4,77,1,FALSE
WV,85,no,225,81,3,FALSE
VA,108,no,198.5,99,0,TRUE
SC,22,no,110.3,107,0,FALSE
RI,107,no,60,102,0,FALSE
